material_row,areal_density_gcm2,thickness_cm,shield_density_gcm3,energy_MeV,n_primaries,mean_edep_lead_MeV,composition
0,0.5,0.552486,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,10,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,15,1000,0.00441738,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,20,1000,8.66448e-05,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,25,1000,8.44497,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,30,1000,17.5323,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,40,1000,30.8575,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,50,1000,41.9589,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,60,1000,53.1583,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,75,1000,68.5507,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,90,1000,83.3138,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,100,1000,92.6904,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,110,1000,102.713,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,125,1000,116.227,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,140,1000,131.252,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,150,1000,138.515,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,175,1000,160.617,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,0.5,0.552486,0.905,200,1000,183.669,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,10,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,15,1000,0.00767892,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,20,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,25,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,30,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,40,1000,19.1692,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,50,1000,34.0555,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,60,1000,46.4456,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,75,1000,63.4712,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,90,1000,78.7046,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,100,1000,88.6493,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,110,1000,98.2698,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,125,1000,112.499,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,140,1000,126.727,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,150,1000,136.48,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,175,1000,158.474,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.0,1.10497,0.905,200,1000,180.366,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,10,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,15,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,20,1000,4.04652e-05,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,25,1000,0.000110124,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
